Key,zh-tw,zh-cn,ja-jp,en
Item._ItmDp_c06B.Name,結晶蜘蛛腳,结晶蜘蛛脚,水晶クモの足,Crystal Spider Foot
Item._ItmDp_c06C.Name,結晶蜂針,结晶蜂针,水晶蜂の針,Crystal Bee Stinger
Item._ItmDp_c06D.Name,結晶絲線,结晶丝线,水晶糸,Crystal Cobweb
Item._ItmDp_c07A.Name,軍用上級鈷藍塊,军用上级钴蓝块,上級軍用コバルトの塊,Military Superior Cobalt Blue Block
Item._ItmDp_c07B.Name,軍用上級夜繭布,军用上级夜茧布,上級軍用夜空シルク,Military Superior Night Silk Cloth
Item._ItmDp_c07C.Name,軍用上級方角木,军用上级方角木,上級軍用角材,Military Superior Angle Wood
Item._ItmDp_c07D.Name,軍用上級黑咒紙,军用上级黑咒纸,上級軍用黒い魔法の紙,Military Superior Ink Magic Paper
Item._ItmDp_c07E.Name,軍用上級魔力結晶,军用上级魔力结晶,上級軍用クリスタル,Military Superior Magic Crystal
Item._ItmDp_c07F.Name,魔力分析儀借用許可証,魔力分析仪借用许可证,魔法解析装置の利用許可証,License to Borrow Magic Power Analyzer
Item._ItmDp_c08A.Name,奇怪的錢幣,,変なコイン,Strange Coin
Item._ItmDp_c08B.Name,朗姆酒,,ラム酒,Rum
Item._ItmDp_c08C.Name,深海沉鐵,,深海沈鉄,Iron in the Deep Sea
Item._ItmDp_c08D.Name,鐵針木材,,鉄針木材,Iron Needle Wood
Item._ItmDp_c08E.Name,奇怪的鎖鏈,,変な鎖,Strange Chain
Item._ItmDp_c08F.Name,濕掉的火藥,,湿った火薬,Wet Gunpowder
Item._ItmDp_c08X1B.Name,崩掉的鯊魚牙,,欠けた鮫の牙,Broken Shark Tooth
Item._ItmDp_c08X1A.Name,鯊魚人的手銬,,シャークマンの手錠,Sharklin Handcuff 
Item._ItmDp_c08X2A.Name,黃金龍像,,黄金の龍像,Gold Dragon Statue
Item._ItmDp_c08X2B.Name,火焰紅寶石,,フレームルビー,Flame Ruby
